日期,地区,产品类别,销售额,订单量,客户数,利润率
2024-01-05,华东,数码产品,28500,120,98,0.18
2024-01-12,华南,数码产品,31200,135,110,0.21
2024-01-19,华北,服装鞋帽,15800,210,180,0.32
2024-01-26,西南,食品饮料,9800,320,260,0.25
2024-02-02,华东,服装鞋帽,18900,240,205,0.29
2024-02-09,华南,食品饮料,11200,355,300,0.23
2024-02-16,华北,数码产品,27600,118,95,0.19
2024-02-23,西南,服装鞋帽,14300,198,172,0.31
2024-03-01,华东,食品饮料,13500,380,320,0.22
2024-03-08,华南,服装鞋帽,20400,256,218,0.28
2024-03-15,华北,数码产品,29800,126,102,0.20
2024-03-22,西南,食品饮料,10600,340,285,0.24
2024-03-29,华东,数码产品,32600,142,118,0.19
2024-04-05,华南,食品饮料,12400,368,310,0.23
2024-04-12,华北,服装鞋帽,17200,225,190,0.30
2024-04-19,西南,数码产品,24800,105,88,0.22
2024-04-26,华东,服装鞋帽,21600,262,224,0.27
2024-05-03,华南,数码产品,33400,148,122,0.20
2024-05-10,华北,食品饮料,11800,350,298,0.21
2024-05-17,西南,服装鞋帽,15900,210,180,0.33
2024-05-24,华东,数码产品,35200,155,130,0.18
2024-05-31,华南,服装鞋帽,22800,270,232,0.26
2024-06-07,华北,数码产品,31500,138,115,0.19
2024-06-14,西南,食品饮料,10000,330,278,0.25
2024-06-21,华东,食品饮料,14200,395,335,0.22
2024-06-28,华南,数码产品,34800,150,126,0.20
2024-07-05,华北,服装鞋帽,19300,238,202,0.29
2024-07-12,西南,数码产品,26600,112,94,0.21
2024-07-19,华东,服装鞋帽,23200,278,238,0.28
2024-07-26,华南,食品饮料,12900,372,315,0.23
2024-08-02,华北,数码产品,30800,134,112,0.19
2024-08-09,西南,服装鞋帽,16800,222,188,0.32
2024-08-16,华东,数码产品,36600,160,134,0.17
2024-08-23,华南,服装鞋帽,24000,284,244,0.25
2024-08-30,华北,食品饮料,12100,358,305,0.22
2024-09-06,西南,数码产品,27900,118,99,0.20
2024-09-13,华东,服装鞋帽,20500,250,215,0.30
2024-09-20,华南,食品饮料,13200,376,318,0.24
2024-09-27,华北,数码产品,32100,140,118,0.18
2024-10-04,西南,服装鞋帽,17600,230,196,0.31
2024-10-11,华东,食品饮料,14800,402,342,0.21
2024-10-18,华南,数码产品,35800,158,130,0.19
2024-10-25,华北,服装鞋帽,21000,260,222,0.27
2024-11-01,西南,数码产品,29200,124,104,0.20
2024-11-08,华东,数码产品,37800,166,140,0.17
2024-11-15,华南,服装鞋帽,24600,290,250,0.26
2024-11-22,华北,食品饮料,12600,364,310,0.22
2024-11-29,西南,服装鞋帽,18200,236,202,0.32
2024-12-06,华东,食品饮料,15200,410,348,0.21
2024-12-13,华南,数码产品,39200,172,146,0.18
2024-12-20,华北,服装鞋帽,22400,272,234,0.28
2024-12-27,西南,食品饮料,11600,352,296,0.24
